Student_ID,Age,Gender,Grade_Level,Field_of_Study,Usage_of_VR_in_Education,Hours_of_VR_Usage_Per_Week,Engagement_Level,Improvement_in_Learning_Outcomes,Subject,Instructor_VR_Proficiency,Perceived_Effectiveness_of_VR,Access_to_VR_Equipment,Impact_on_Creativity,Stress_Level_with_VR_Usage,Collaboration_with_Peers_via_VR,Feedback_from_Educators_on_VR,Interest_in_Continuing_VR_Based_Learning,Region,School_Support_for_VR_in_Curriculum
STUD0032,12,Female,High School,Medicine,No,0,5,No,Computer Science,Advanced,3,No,5,High,No,Negative,Yes,Europe,Yes
STUD0036,12,Male,Undergraduate,Law,No,1,1,No,Math,Beginner,2,Yes,4,Low,No,Neutral,Yes,Asia,Yes
STUD0039,12,Prefer not to say,Undergraduate,Arts,Yes,7,5,No,Physics,Intermediate,5,No,5,High,No,Neutral,Yes,South America,No
STUD0094,12,Non-binary,High School,Law,Yes,6,2,No,Physics,Intermediate,1,Yes,4,Low,Yes,Positive,No,South America,Yes
STUD0133,12,Prefer not to say,Postgraduate,Medicine,No,2,4,Yes,Art,Intermediate,3,Yes,2,High,Yes,Negative,No,Oceania,Yes
STUD0134,12,Non-binary,Postgraduate,Law,Yes,4,2,Yes,Biology,Advanced,3,No,5,High,No,Neutral,No,Asia,Yes
STUD0142,12,Female,High School,Engineering,Yes,9,2,Yes,Biology,Advanced,4,Yes,4,High,Yes,Positive,No,Africa,Yes
STUD0146,12,Non-binary,Undergraduate,Law,Yes,6,3,No,History,Intermediate,1,No,1,Low,Yes,Neutral,No,South America,No
STUD0181,12,Prefer not to say,High School,Engineering,Yes,3,5,No,Biology,Intermediate,2,No,5,Medium,No,Positive,No,North America,Yes
STUD0199,12,Prefer not to say,High School,Business,No,6,5,No,Art,Advanced,2,No,3,Low,No,Neutral,No,Africa,No
STUD0210,12,Male,High School,Science,No,5,2,Yes,Math,Advanced,3,Yes,4,Medium,No,Positive,No,Europe,Yes
STUD0228,12,Prefer not to say,High School,Medicine,No,0,2,No,Physics,Beginner,2,Yes,5,Low,Yes,Negative,No,North America,Yes
STUD0251,12,Female,Postgraduate,Business,Yes,7,3,No,Physics,Beginner,5,Yes,3,High,No,Neutral,No,North America,Yes
STUD0287,12,Male,High School,Business,Yes,0,2,Yes,Economics,Intermediate,4,Yes,2,High,No,Negative,No,Africa,Yes
STUD0297,12,Prefer not to say,Undergraduate,Business,Yes,6,3,Yes,Math,Advanced,3,No,5,Medium,No,Positive,No,Asia,No
STUD0300,12,Prefer not to say,High School,Business,Yes,5,3,No,Math,Advanced,3,Yes,3,Medium,No,Positive,Yes,Europe,Yes
STUD0321,12,Prefer not to say,High School,Law,No,3,4,No,Economics,Beginner,2,Yes,4,High,Yes,Negative,Yes,South America,Yes
STUD0390,12,Male,Undergraduate,Law,Yes,2,3,No,Art,Advanced,5,No,3,Low,No,Positive,Yes,Oceania,No
STUD0420,12,Non-binary,Undergraduate,Law,Yes,2,5,Yes,Computer Science,Beginner,1,No,2,High,No,Negative,Yes,Oceania,No
STUD0432,12,Male,Postgraduate,Law,No,3,4,Yes,History,Advanced,5,Yes,4,Low,No,Neutral,No,Africa,No
STUD0438,12,Non-binary,Postgraduate,Science,No,9,1,No,Math,Advanced,1,Yes,4,Low,No,Negative,Yes,South America,Yes
STUD0444,12,Female,Undergraduate,Medicine,No,8,5,Yes,Physics,Beginner,2,Yes,4,High,Yes,Negative,No,Africa,Yes
STUD0459,12,Male,Postgraduate,Medicine,Yes,8,3,Yes,Art,Advanced,2,No,2,Medium,No,Positive,Yes,North America,No
STUD0484,12,Male,Undergraduate,Business,Yes,1,5,No,Economics,Intermediate,2,Yes,3,High,Yes,Negative,Yes,Oceania,Yes
STUD0486,12,Female,Undergraduate,Business,Yes,3,3,Yes,Art,Advanced,1,No,3,Low,No,Neutral,No,Oceania,No
STUD0496,12,Female,Postgraduate,Engineering,No,8,4,No,Art,Beginner,2,Yes,5,Medium,No,Positive,Yes,Europe,Yes
STUD0517,12,Prefer not to say,High School,Medicine,Yes,9,2,No,Physics,Beginner,5,Yes,1,Low,Yes,Positive,Yes,South America,No
STUD0523,12,Prefer not to say,Postgraduate,Science,Yes,4,3,Yes,Computer Science,Intermediate,4,No,4,High,No,Positive,Yes,Oceania,No
STUD0557,12,Male,High School,Science,No,2,3,No,Math,Advanced,5,Yes,1,Low,Yes,Positive,No,Africa,Yes
STUD0559,12,Prefer not to say,Postgraduate,Law,Yes,5,3,Yes,Physics,Advanced,3,Yes,1,Low,Yes,Positive,No,Europe,No
STUD0570,12,Prefer not to say,High School,Medicine,Yes,2,2,No,Math,Intermediate,2,Yes,5,Low,No,Neutral,Yes,Asia,No
STUD0575,12,Prefer not to say,High School,Science,Yes,1,5,Yes,Computer Science,Intermediate,2,Yes,1,High,Yes,Negative,No,North America,No
STUD0611,12,Non-binary,Postgraduate,Law,No,3,3,Yes,Math,Intermediate,4,No,5,Medium,Yes,Positive,No,North America,No
STUD0627,12,Prefer not to say,Postgraduate,Medicine,No,10,3,No,Art,Advanced,3,No,4,Low,No,Neutral,Yes,North America,No
STUD0629,12,Non-binary,High School,Arts,No,3,5,Yes,Economics,Advanced,1,No,3,High,Yes,Positive,Yes,South America,No
STUD0683,12,Female,Postgraduate,Medicine,No,7,1,Yes,Computer Science,Intermediate,5,No,3,Low,No,Positive,No,North America,No
STUD0687,12,Female,Postgraduate,Business,Yes,6,3,No,Art,Beginner,3,No,1,High,Yes,Negative,Yes,Africa,Yes
STUD0691,12,Female,Undergraduate,Engineering,Yes,2,1,No,Art,Advanced,2,No,1,Low,Yes,Neutral,No,South America,No
STUD0743,12,Male,Postgraduate,Law,Yes,8,4,No,Art,Intermediate,1,No,2,Low,Yes,Neutral,No,Oceania,No
STUD0755,12,Male,High School,Science,Yes,5,5,No,Economics,Intermediate,4,Yes,2,High,No,Positive,Yes,Europe,Yes
STUD0767,12,Non-binary,Undergraduate,Business,No,7,2,No,Computer Science,Intermediate,5,No,1,High,No,Neutral,Yes,Oceania,No
STUD0780,12,Prefer not to say,Undergraduate,Business,Yes,6,1,Yes,Economics,Beginner,5,No,4,High,No,Positive,Yes,Africa,Yes
STUD0792,12,Male,High School,Law,No,5,5,Yes,Biology,Beginner,2,Yes,3,Low,Yes,Positive,Yes,Africa,Yes
STUD0806,12,Prefer not to say,High School,Science,Yes,6,2,Yes,Computer Science,Beginner,3,Yes,5,Medium,No,Neutral,Yes,North America,Yes
STUD0819,12,Prefer not to say,Undergraduate,Education,No,10,4,No,History,Intermediate,3,Yes,1,Medium,Yes,Negative,Yes,Asia,No
STUD0835,12,Prefer not to say,High School,Education,Yes,4,5,Yes,Computer Science,Intermediate,3,Yes,5,Medium,No,Positive,Yes,Africa,No
STUD0866,12,Female,High School,Business,No,9,5,Yes,Computer Science,Advanced,1,No,5,High,Yes,Negative,Yes,Asia,No
STUD0880,12,Prefer not to say,High School,Science,Yes,3,1,No,Economics,Intermediate,3,Yes,1,High,Yes,Negative,No,Oceania,Yes
STUD0883,12,Male,Undergraduate,Engineering,Yes,4,1,No,Biology,Advanced,4,No,5,Low,Yes,Negative,No,North America,No
STUD0890,12,Female,Undergraduate,Science,No,2,4,No,Math,Beginner,4,Yes,3,Low,Yes,Negative,Yes,South America,Yes
STUD0907,12,Male,Undergraduate,Medicine,Yes,1,3,No,History,Intermediate,5,Yes,4,Medium,Yes,Neutral,No,Oceania,Yes
STUD0917,12,Male,Undergraduate,Education,No,3,2,Yes,Economics,Intermediate,4,No,4,High,Yes,Neutral,No,Oceania,Yes
STUD0924,12,Female,High School,Medicine,Yes,7,1,No,History,Advanced,4,Yes,4,Medium,Yes,Positive,Yes,North America,Yes
STUD0927,12,Non-binary,Undergraduate,Business,No,10,3,No,Biology,Advanced,4,Yes,1,High,No,Negative,No,Africa,Yes
STUD0992,12,Female,High School,Medicine,Yes,4,1,No,Physics,Beginner,3,No,4,High,Yes,Negative,No,Africa,Yes
STUD1009,12,Male,High School,Medicine,No,1,4,Yes,Economics,Intermediate,2,Yes,2,Low,Yes,Positive,No,South America,Yes
STUD1013,12,Male,Undergraduate,Arts,No,0,1,No,Biology,Beginner,1,Yes,3,Medium,No,Positive,No,Asia,Yes
STUD1034,12,Non-binary,Undergraduate,Business,Yes,2,4,No,History,Beginner,3,No,5,Low,No,Positive,Yes,Europe,No
STUD1054,12,Prefer not to say,Postgraduate,Arts,No,10,3,No,History,Intermediate,4,Yes,5,Low,No,Positive,Yes,Asia,Yes
STUD1060,12,Non-binary,Undergraduate,Law,Yes,8,2,No,Computer Science,Beginner,5,Yes,3,Medium,No,Neutral,No,Africa,Yes
STUD1063,12,Non-binary,Undergraduate,Law,Yes,8,1,No,Physics,Beginner,1,Yes,3,Medium,Yes,Positive,No,South America,No
STUD1168,12,Male,Undergraduate,Arts,No,6,1,Yes,Computer Science,Intermediate,5,No,3,Low,Yes,Neutral,Yes,North America,No
STUD1186,12,Non-binary,Postgraduate,Business,Yes,2,4,No,Art,Beginner,5,No,4,Low,No,Positive,Yes,North America,Yes
STUD1213,12,Male,Undergraduate,Engineering,Yes,1,3,No,History,Beginner,4,No,1,High,Yes,Negative,No,Oceania,No
STUD1234,12,Prefer not to say,High School,Medicine,Yes,9,1,No,History,Beginner,5,Yes,1,Medium,Yes,Negative,No,Oceania,No
STUD1242,12,Male,High School,Science,Yes,7,3,No,History,Beginner,4,No,4,Low,Yes,Positive,No,South America,Yes
STUD1255,12,Prefer not to say,Undergraduate,Medicine,No,7,2,Yes,Computer Science,Beginner,3,No,4,Low,Yes,Negative,Yes,Asia,Yes
STUD1256,12,Male,Postgraduate,Education,Yes,6,4,No,Art,Beginner,1,Yes,1,High,Yes,Positive,No,Oceania,No
STUD1260,12,Female,Postgraduate,Business,Yes,8,3,No,Computer Science,Beginner,4,Yes,3,Low,No,Positive,No,Asia,No
STUD1266,12,Non-binary,Undergraduate,Education,Yes,5,1,No,Physics,Intermediate,3,Yes,5,High,Yes,Negative,No,North America,Yes
STUD1291,12,Non-binary,Postgraduate,Law,No,9,3,No,Economics,Advanced,2,No,2,Medium,No,Positive,No,Europe,No
STUD1293,12,Male,Postgraduate,Law,Yes,5,4,Yes,Math,Intermediate,2,Yes,1,Low,No,Neutral,Yes,Africa,Yes
STUD1302,12,Prefer not to say,Postgraduate,Business,Yes,6,1,No,Economics,Intermediate,4,No,4,Medium,Yes,Neutral,Yes,Europe,Yes
STUD1305,12,Female,High School,Engineering,No,1,3,Yes,History,Advanced,1,No,2,High,No,Neutral,Yes,North America,Yes
STUD1311,12,Prefer not to say,Undergraduate,Arts,Yes,6,4,Yes,History,Beginner,4,Yes,3,Medium,No,Negative,Yes,South America,No
STUD1317,12,Male,High School,Arts,Yes,0,3,Yes,History,Intermediate,4,No,1,High,No,Negative,No,Africa,No
STUD1364,12,Non-binary,Undergraduate,Medicine,No,5,5,No,Biology,Intermediate,1,Yes,4,High,Yes,Positive,No,Europe,Yes
STUD1369,12,Female,High School,Medicine,Yes,10,3,No,Computer Science,Intermediate,2,Yes,4,High,No,Negative,Yes,Asia,No
STUD1385,12,Female,Undergraduate,Business,Yes,10,1,Yes,Physics,Intermediate,4,Yes,2,Low,Yes,Neutral,No,South America,Yes
STUD1413,12,Non-binary,High School,Business,No,6,2,No,Economics,Intermediate,5,No,5,High,Yes,Neutral,No,South America,No
STUD1488,12,Prefer not to say,Undergraduate,Engineering,Yes,5,4,Yes,Physics,Beginner,3,Yes,1,Low,Yes,Positive,Yes,Europe,Yes
STUD1514,12,Female,Postgraduate,Engineering,Yes,4,2,No,Biology,Intermediate,5,Yes,5,Medium,No,Neutral,No,Oceania,Yes
STUD1572,12,Male,Postgraduate,Law,Yes,5,5,No,Biology,Advanced,4,No,5,Medium,No,Negative,Yes,Oceania,No
STUD1610,12,Non-binary,High School,Law,Yes,2,3,Yes,Economics,Intermediate,3,Yes,1,Low,Yes,Neutral,No,North America,No
STUD1614,12,Female,High School,Medicine,No,10,4,Yes,Math,Intermediate,1,No,5,Low,No,Positive,Yes,Europe,Yes
STUD1625,12,Female,High School,Business,No,3,1,Yes,Economics,Beginner,1,Yes,3,Medium,Yes,Negative,Yes,Oceania,Yes
STUD1644,12,Non-binary,Postgraduate,Business,No,6,4,Yes,Physics,Intermediate,5,Yes,4,Low,Yes,Positive,Yes,Africa,No
STUD1657,12,Male,Undergraduate,Science,No,0,1,Yes,Math,Advanced,1,Yes,3,Low,No,Negative,No,North America,Yes
STUD1699,12,Male,Postgraduate,Business,Yes,2,3,No,Computer Science,Advanced,2,Yes,1,High,Yes,Neutral,No,South America,Yes
STUD1715,12,Prefer not to say,High School,Law,Yes,0,3,No,Biology,Beginner,1,Yes,5,Low,Yes,Positive,Yes,Europe,No
STUD1718,12,Non-binary,High School,Education,Yes,4,5,No,Biology,Advanced,4,Yes,5,Low,Yes,Neutral,No,South America,No
STUD1719,12,Prefer not to say,Undergraduate,Arts,No,2,2,No,Art,Intermediate,5,Yes,3,High,No,Positive,Yes,Oceania,Yes
STUD1727,12,Female,Undergraduate,Science,Yes,6,5,No,History,Advanced,3,No,1,High,No,Negative,No,Europe,Yes
STUD1745,12,Male,Postgraduate,Medicine,Yes,4,2,Yes,Economics,Intermediate,5,Yes,1,Low,Yes,Positive,No,Africa,Yes
STUD1765,12,Male,Postgraduate,Engineering,No,10,5,No,Math,Beginner,4,Yes,2,Medium,No,Neutral,No,Asia,No
STUD1839,12,Male,Postgraduate,Business,Yes,4,3,Yes,Biology,Beginner,5,Yes,2,High,No,Neutral,Yes,Oceania,Yes
STUD1843,12,Male,Undergraduate,Education,Yes,3,2,Yes,History,Intermediate,2,No,5,Medium,Yes,Neutral,Yes,Europe,Yes
STUD1883,12,Male,Postgraduate,Engineering,Yes,10,2,No,Computer Science,Intermediate,3,Yes,5,High,Yes,Neutral,Yes,Europe,No
STUD1920,12,Female,Postgraduate,Medicine,Yes,5,3,No,Math,Advanced,3,Yes,4,Low,Yes,Positive,Yes,Oceania,Yes
STUD1929,12,Prefer not to say,Undergraduate,Education,No,2,5,Yes,History,Beginner,3,No,3,High,No,Neutral,No,South America,No
STUD1969,12,Male,Undergraduate,Arts,Yes,8,2,Yes,Art,Advanced,1,Yes,3,Low,Yes,Positive,No,South America,Yes
STUD2015,12,Male,High School,Medicine,Yes,9,2,No,Economics,Advanced,2,Yes,5,Medium,Yes,Neutral,No,North America,No
STUD2032,12,Male,Postgraduate,Business,No,2,2,No,Physics,Intermediate,5,Yes,1,Medium,Yes,Neutral,No,Asia,Yes
STUD2037,12,Prefer not to say,Undergraduate,Business,Yes,3,2,Yes,Physics,Advanced,2,Yes,5,Medium,No,Positive,No,Africa,Yes
STUD2063,12,Male,High School,Arts,No,9,2,Yes,Art,Beginner,1,No,5,Low,No,Negative,Yes,South America,Yes
STUD2159,12,Female,Undergraduate,Arts,No,10,3,No,Computer Science,Beginner,5,No,5,Low,No,Positive,No,Africa,No
STUD2161,12,Male,High School,Science,No,2,2,Yes,Math,Intermediate,5,Yes,2,Medium,No,Neutral,Yes,Oceania,No
STUD2179,12,Female,Undergraduate,Science,No,3,4,No,Computer Science,Beginner,1,No,3,Medium,No,Negative,No,Asia,Yes
STUD2206,12,Male,Postgraduate,Law,Yes,1,1,Yes,Math,Intermediate,3,Yes,3,High,Yes,Positive,No,North America,No
STUD2213,12,Non-binary,Postgraduate,Medicine,No,4,5,Yes,Computer Science,Intermediate,2,No,2,Medium,No,Positive,No,North America,No
STUD2253,12,Male,High School,Education,No,9,1,Yes,History,Intermediate,2,No,1,Medium,Yes,Neutral,No,South America,No
STUD2270,12,Non-binary,High School,Science,Yes,3,5,Yes,Math,Intermediate,3,Yes,5,Low,No,Neutral,Yes,Africa,Yes
STUD2302,12,Non-binary,Postgraduate,Law,No,3,1,Yes,Physics,Beginner,4,No,3,High,Yes,Neutral,No,South America,No
STUD2334,12,Female,Undergraduate,Science,No,4,2,Yes,Math,Intermediate,2,Yes,1,High,Yes,Positive,No,South America,No
STUD2350,12,Prefer not to say,Postgraduate,Science,No,2,1,Yes,Physics,Beginner,1,No,3,High,Yes,Neutral,Yes,Asia,No
STUD2352,12,Non-binary,Postgraduate,Arts,Yes,5,2,Yes,History,Intermediate,3,Yes,2,High,No,Positive,Yes,Africa,Yes
STUD2354,12,Female,High School,Arts,Yes,2,4,Yes,History,Beginner,1,No,1,Medium,Yes,Neutral,Yes,Europe,Yes
STUD2360,12,Non-binary,Postgraduate,Arts,No,2,1,Yes,Economics,Beginner,1,Yes,3,High,Yes,Negative,No,Africa,Yes
